Hour,Weekday,Number_of_Trips
0,Weekday,1696
0,Weekend,1233
1,Weekend,814
1,Weekday,797
2,Weekday,420
2,Weekend,457
3,Weekday,427
3,Weekend,178
4,Weekday,1273
4,Weekend,125
5,Weekend,299
5,Weekday,4799
6,Weekday,19830
6,Weekend,689
7,Weekday,65900
7,Weekend,1631
8,Weekday,128999
8,Weekend,3465
9,Weekday,90264
9,Weekend,5854
10,Weekday,34888
10,Weekend,7894
11,Weekday,30712
11,Weekend,9695
12,Weekday,36382
12,Weekend,10568
13,Weekday,33029
13,Weekend,10685
14,Weekend,10262
14,Weekday,27590
15,Weekday,37424
15,Weekend,10202
16,Weekday,79000
16,Weekend,9755
17,Weekday,118332
17,Weekend,7970
18,Weekend,6381
18,Weekday,78188
19,Weekday,36584
19,Weekend,4487
20,Weekday,19492
20,Weekend,3255
21,Weekday,12828
21,Weekend,2430
22,Weekday,8343
22,Weekend,1927
23,Weekday,4797
23,Weekend,1398
